district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Bedford,00230000,NA,0.025,0.0225,0.0225,NA,76462,78182,NA,50583,51721,NA,103503,105832,NA,55192858.99,2602,2615,12551.14274,842.064642,1312.688049,1262.605929,2702.334127,17.2,NA,28,160,183,201,213,191,199,205,200,206,207,209,230,183,0,NA,NA,NA,NA,NA
Belchertown,00240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35668291.58,2131,2149,8593.263937,610.5097131,1610.43305,1199.024684,2381.796917,19.4,NA,35,141,138,146,155,150,161,175,167,187,174,187,157,171,5,2,2,145000,147000,2
Bellingham,00250000,0.02,0.02,NA,NA,66341,69432,NA,47288,50905,NA,87223,89428,NA,NA,42475337.14,1980,1984,9630.466574,673.1103845,1616.876043,1393.836853,3601.270231,21.3,NA,57,125,130,139,139,157,143,159,188,164,156,128,147,149,3,6,6,150000,NA,3
Belmont,00260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73554813,4356,4420,8570.631956,526.6511204,1076.140849,1328.380361,2342.149202,12,NA,48,253,341,339,348,372,335,365,367,343,334,318,335,322,0,NA,NA,NA,NA,NA
Benjamin Banneker Charter Public (District),04200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8098949.36,329,344,NA,NA,NA,NA,NA,13.1,NA,19,52,46,47,50,48,42,40,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Benjamin Franklin Classical Charter Public (District),04470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11335463.69,818,776,NA,NA,NA,NA,NA,12,NA,0,96,96,96,96,96,96,96,52,52,0,0,0,0,0,NA,NA,NA,NA,NA
Berkley,00270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11396394,870,864,8105.017964,495.1627654,969.0495373,953.2182907,1423.127926,15,NA,41,77,95,86,75,101,93,91,109,96,0,0,0,0,0,15,15,155241,170191,2
Berkshire Arts and Technology Charter Public (District),04140000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6507994.34,366,372,NA,NA,NA,NA,NA,20.2,NA,0,0,0,0,0,0,0,64,68,67,51,43,47,32,0,11,11,176391,NA,3
Berkshire Hills,06180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29987385.64,1188,1164,12857.023,986.1065807,2357.182396,2040.03891,4832.86287,18.2,NA,15,68,60,66,53,56,84,70,90,100,113,118,148,122,1,NA,NA,NA,NA,NA
Berlin-Boylston,06200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18282809,1053,1046,10112.40755,729.7560046,1298.24247,1257.452345,2296.808997,16.2,NA,33,74,84,70,78,67,84,74,92,77,85,72,74,82,0,4,3.5,178000,178000,5
Beverly,00300000,NA,0.02,0.02,0.03,NA,68060.49,71412.13,NA,45812,46842,NA,94261,99997,NA,72741821.42,4636,4633,8285.543503,477.0411901,968.6969593,861.5122765,2980.493025,19.4,NA,82,371,385,366,359,349,348,364,373,350,295,339,341,302,9,2,2,186000,186000,3
Billerica,00310000,NA,0.025,NA,NA,NA,71187,NA,NA,46625,NA,NA,101093,NA,NA,89412353,4734,4569,11007.70814,357.7254013,1389.714298,1185.866464,3120.701156,20.2,NA,106,371,364,364,364,351,396,369,385,403,266,279,302,239,10,9,9,203762,211862,4
Blackstone Valley Regional Vocational Technical,08050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25584432.57,1234,1231,11916.63049,1093.94736,2593.066058,1559.413321,3483.907549,10.6,NA,0,0,0,0,0,0,0,0,0,0,318,314,298,301,0,NA,NA,NA,NA,NA
Blackstone-Millville,06220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26329639.55,1538,1565,8085.913389,644.5233753,1904.278516,1139.575691,2337.804457,17.9,NA,46,105,107,119,125,108,147,112,132,145,99,110,112,94,4,3,3,172500,180000,5
Blue Hills Regional Vocational Technical,08060000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20614109.87,917,890,13056.27137,1221.179699,2087.324197,2752.231849,4783.410122,26.9,NA,0,0,0,0,0,0,0,0,0,0,247,232,217,194,0,2,2,143000,144500,2
Boston,00350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1570952894,46169,48112,15054.55451,974.6285647,3372.694854,1453.942396,4361.671225,21.5,NA,2673,3244,3508,3635,3637,3583,3306,3196,3340,3413,3399,3795,3532,3616,235,3,2,275000,NA,5
Boston Collegiate Charter (District),04490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15248779.53,702,723,NA,NA,NA,NA,NA,15.9,NA,0,0,0,0,0,0,88,97,106,95,91,93,80,73,0,NA,NA,NA,NA,NA
Boston Day and Evening Academy Charter (District),04240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7286922.69,348,356,NA,NA,NA,NA,NA,38.1,NA,0,0,0,0,0,0,0,0,0,0,73,52,26,205,0,NA,NA,NA,NA,NA
Boston Green Academy Horace Mann Charter School (District),04110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7936636.59,486,509,NA,NA,NA,NA,NA,33.2,NA,0,0,0,0,0,0,0,47,62,66,87,78,84,81,4,NA,NA,NA,NA,NA
Boston Preparatory Charter Public (District),04160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13784062.45,696,671,NA,NA,NA,NA,NA,20.3,NA,0,0,0,0,0,0,0,100,107,105,124,85,78,72,0,NA,NA,NA,NA,NA
Boston Renaissance Charter Public (District),04810000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21550231,939,943,NA,NA,NA,NA,NA,10.6,NA,117,125,140,141,139,120,102,59,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Bourne,00360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37340744.42,1557,1650,10161.50097,410.7526266,1644.176098,1108.10334,3855.940568,18.3,NA,39,81,115,103,141,128,155,138,165,157,98,94,111,114,11,1,1,167000,167000,4
Boxford,00380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14334636,739,679,11506.98141,794.527232,1133.006726,1616.783595,2939.750758,18.9,NA,27,78,105,80,87,99,111,92,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Braintree,00400000,0.03,0.02,NA,NA,74965.95727,76554.32,NA,47381.06,48328.7,NA,105168.26,108344.37,NA,NA,93092438.64,5369,5456,9557.141259,317.381356,1330.429814,1319.062758,2201.727348,19.9,NA,79,313,395,421,366,413,420,438,479,485,366,413,438,430,0,NA,NA,NA,NA,NA
Brewster,00410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10503520,438,420,13214.54565,708.0738055,1599.936007,1241.84727,4427.709044,19.2,NA,18,67,64,62,53,80,76,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Bridge Boston Charter School (District),04170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8484575,336,338,NA,NA,NA,NA,NA,21.9,NA,31,40,38,37,40,40,35,30,27,20,0,0,0,0,0,NA,NA,NA,NA,NA
Bridgewater-Raynham,06250000,NA,0.02,0.025,0.025,NA,80961.23,82985.26,NA,48718.26,49936.22,NA,107344.8,110028.42,NA,79229512.72,5392,5272,7710.689701,451.47923,1574.352672,1124.300857,2360.358478,16.3,NA,93,386,401,423,435,424,405,408,431,485,309,327,361,373,11,5,5,175916,178416,5
Brimfield,00430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4987376,269,269,10089.53115,649.5836066,1186.563934,1047.714754,1454.213115,15.9,NA,10,31,43,26,41,40,31,47,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Bristol County Agricultural,09100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9281754.45,499,448,9573.147398,1416.29179,2740.745446,1841.025527,5249.234993,14.7,NA,0,0,0,0,0,0,0,0,0,0,123,120,107,98,0,NA,NA,NA,NA,NA
Bristol-Plymouth Regional Vocational Technical,08100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25739081,1332,1319,11475.28103,727.8247,1766.751481,1512.324928,4010.03266,17.1,NA,0,0,0,0,0,0,0,0,0,0,343,351,334,291,0,NA,NA,NA,NA,NA
Brockton,00440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274509498.5,15265,15384,9540.76147,532.1733494,1640.111697,833.1508836,2902.263423,17.3,NA,212,1149,1046,1069,1173,1296,1283,1218,1240,1326,1096,1228,981,1009,58,NA,NA,NA,NA,NA
Brooke Charter School (District),04280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40557158.26,2145,2053,NA,NA,NA,NA,NA,11.2,NA,0,185,195,190,196,192,177,182,176,178,148,120,73,41,0,NA,NA,NA,NA,NA
Brookfield,00450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4468580,279,266,8750.29544,659.1104689,1064.364162,1120.378934,1677.909441,12,NA,12,32,35,35,40,35,41,36,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brookline,00460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168038043,6928,6891,13516.83732,728.9693131,983.4949621,1584.76458,3773.288212,17,NA,153,488,501,505,545,495,543,568,503,555,509,490,515,503,18,NA,NA,NA,NA,NA
Burlington,00480000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82653523.55,3440,3388,13643.43862,760.8846108,1468.547484,1371.455905,3549.095639,14.2,NA,73,260,269,282,286,297,277,256,239,256,205,218,229,241,0,14,13,222500,222500,6
Cambridge,00490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241963662,6612,6678,17271.25956,1243.146708,2565.626636,1912.0889,5957.462955,23.1,NA,448,591,531,525,534,481,477,424,403,417,428,478,476,451,14,9,5,251669,266669,3
Canton,00500000,0.03,0.02,NA,NA,78505,80076,NA,53165,54229,NA,105734,107849,NA,NA,61050697.8,3228,3164,10209.46022,489.0204292,1471.889628,1057.654433,3029.96327,12.9,0.75,24,219,241,234,221,256,250,242,283,243,213,209,265,258,6,5,5,213257,240000,5
Cape Cod Lighthouse Charter (District),04320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4701476.42,250,250,NA,NA,NA,NA,NA,17.6,NA,0,0,0,0,0,0,0,84,84,82,0,0,0,0,0,11,11,171552,180552,3
Cape Cod Regional Vocational Technical,08150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15534768,654,626,14286.74445,1321.142153,2383.087921,2303.410025,5129.26705,26.5,NA,0,0,0,0,0,0,0,0,0,0,174,168,150,134,0,NA,NA,NA,NA,NA
Carlisle,00510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12783670,615,579,14458.63591,960.7170015,1340.714478,1837.604201,1039.875112,17.2,NA,9,53,51,63,68,68,58,66,78,65,0,0,0,0,0,5,5,171000,175000,4
Carver,00520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26347752.6,1508,1476,8835.991543,406.4367308,1328.47586,1023.627643,3179.643421,19.3,NA,35,98,127,124,108,139,112,114,114,125,106,98,72,104,0,5,5,158437,160437,3
Central Berkshire,06350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28937440,1516,1515,9269.208907,556.177758,1730.215061,1105.332741,3771.253568,15.2,NA,41,81,110,95,110,113,93,107,115,136,144,117,122,131,0,NA,NA,NA,NA,NA
Chelmsford,00560000,0.02,0.02,NA,NA,72899,75824,NA,48205,51136,NA,96615,98547,NA,NA,82333181.48,4943,4826,9337.320103,443.2740814,1345.792604,1005.248858,2489.10566,16.6,NA,76,350,349,381,391,373,363,383,393,359,358,335,342,373,0,6,6,200277,243518,5
Chelsea,00570000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125105654.3,6074,5936,8664.017993,588.3751977,1578.93507,1536.807138,2862.088671,16.7,NA,57,477,490,515,515,503,422,472,505,424,432,457,368,290,9,1,1,185000,185000,3
Chesterfield-Goshen,06320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2669106.44,148,101,12814.36296,945.9645062,1913.503086,1800.771605,2441.350309,23.8,NA,0,11,18,12,16,16,13,15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Chicopee,00610000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124634144.6,6796,6850,9618.274236,703.8834711,1809.513525,1270.558641,2525.287451,18.9,NA,121,412,464,459,505,552,528,520,569,547,542,539,527,563,2,1,1,170000,177000,3
Christa McAuliffe Charter Public (District),04180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7543119,388,399,NA,NA,NA,NA,NA,19.3,NA,0,0,0,0,0,0,0,130,140,129,0,0,0,0,0,NA,NA,NA,NA,NA
City on a Hill Charter Public School (District),04370000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City on a Hill Charter Public School Circuit Street (District),04370000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5772128.35,NA,299,NA,NA,NA,NA,NA,21.7,NA,0,0,0,0,0,0,0,0,0,0,69,74,67,89,0,NA,NA,NA,NA,NA
Clarksburg,00630000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3413356.65,211,190,8411.536443,907.7735052,1108.941546,1677.075567,2921.235515,18.4,NA,0,18,15,20,30,13,22,20,30,22,0,0,0,0,0,NA,NA,NA,NA,NA
Clinton,00640000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33159290.18,1905,1827,8824.834593,432.1895168,1123.034262,1369.041398,2287.999895,22.8,NA,41,146,124,171,135,149,140,133,165,143,135,120,103,121,1,5,4,159500,159500,5
Codman Academy Charter Public (District),04380000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8893398.87,343,348,NA,NA,NA,NA,NA,24.7,NA,20,20,21,21,21,22,21,23,22,21,43,39,31,23,0,NA,NA,NA,NA,NA
Cohasset,00650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28320552.62,1422,1448,10791.48281,635.9048609,1213.686905,1496.007461,3237.365556,13.1,NA,25,100,105,103,103,114,94,119,130,108,103,116,103,125,0,1,1,NA,177162,3
Collegiate Charter School of Lowell (District),35030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10074290.53,1117,1015,NA,NA,NA,NA,NA,5.8,NA,0,77,84,116,122,116,120,100,121,90,29,40,0,0,0,NA,NA,NA,NA,NA
Community Charter School of Cambridge (District),04360000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7727559,288,304,NA,NA,NA,NA,NA,14.5,NA,0,0,0,0,0,0,0,30,40,64,55,37,47,31,0,NA,NA,NA,NA,NA
Community Day Charter Public School - Gateway (District),04260000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6489033,401,400,NA,NA,NA,NA,NA,11.5,NA,34,40,40,43,44,42,41,43,35,38,0,0,0,0,0,18,18,173173,180308,2
Community Day Charter Public School - Prospect (District),04400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7006651,400,399,NA,NA,NA,NA,NA,12.3,NA,32,21,30,48,50,50,42,42,43,41,0,0,0,0,0,NA,NA,NA,NA,NA
Community Day Charter Public School - R. Kingman Webster (District),04310000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6061644,394,400,NA,NA,NA,NA,NA,10.8,NA,32,42,42,44,45,44,40,41,35,35,0,0,0,0,0,NA,NA,NA,NA,NA
Concord,00670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45928979.5,1998,2001,14749.29025,461.1940819,1502.543175,1480.875078,2268.617365,17.4,NA,37,175,217,220,229,209,233,215,230,236,0,0,0,0,0,4,4,212000,212000,5
Concord-Carlisle,06400000,NA,0.025,0.025,0.0275,NA,86080,88232,NA,52942,54265,NA,128244,131450,NA,30853560.88,1323,1316,14199.77424,578.2420543,2542.60071,1746.781439,2223.543553,17.9,NA,0,0,0,0,0,0,0,0,0,0,339,340,321,311,5,4,4,212000,212000,5
Conservatory Lab Charter (District),04390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8250841.73,447,457,NA,NA,NA,NA,NA,12.7,NA,49,49,53,54,54,55,51,30,32,30,0,0,0,0,0,NA,NA,NA,NA,NA
Conway,00680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3249228.32,145,125,15131.05146,637.8404637,2308.998579,1779.282797,3866.32199,16.8,NA,7,13,16,17,16,19,20,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Danvers,00710000,NA,0.023,0.023,0.02,NA,86066,97746,50274,51405,52433,NA,108588,111030,NA,65049747.6,3217,3309,10654.6519,546.2354587,1271.417148,1359.297917,3419.902423,18.5,NA,87,264,256,261,256,265,262,273,258,259,218,205,205,236,4,17,17,192958,NA,6
Dartmouth,00720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54281323.91,3411,3419,9438.548012,454.9454363,1366.697931,979.3346049,1693.009169,17.1,NA,79,213,251,235,238,250,236,284,280,308,260,242,282,261,0,NA,6,193933,NA,3
Dedham,00730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60482761.75,2567,2556,12841.39041,753.6778968,1566.212072,1760.611893,3034.937981,21.9,NA,72,202,217,183,175,187,171,203,209,247,163,172,170,177,8,7,7,195253,207403,6
Deerfield,00740000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7146411.66,326,311,11591.9136,514.5781194,1303.166795,1256.421752,2775.409506,22.8,NA,8,24,52,39,54,47,38,49,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Dennis-Yarmouth,06450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63460633.77,2795,2739,11604.25668,488.0879765,1574.58858,1624.900121,3194.288425,17.9,NA,77,206,227,246,195,228,245,202,233,228,148,170,156,178,0,19,16,187172,191372,3
Dighton-Rehoboth,06500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43236973.04,2569,2616,9023.151214,421.3539159,1258.229658,971.2439495,2427.157912,15.3,NA,38,186,176,207,193,202,201,198,231,231,180,169,178,220,6,7,7,167000,167000,4
Douglas,00770000,0,NA,NA,NA,61380.99,NA,NA,47002,NA,NA,85517,NA,NA,NA,21512112.07,1180,1151,8909.078414,545.7811848,1434.059404,1398.979752,2150.584532,18.8,NA,31,60,91,83,74,95,95,89,86,101,84,75,94,93,0,1,1,143000,150000,3
Dover,00780000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12123910,489,475,11787.53089,1229.817703,829.7346567,1694.158396,3864.253595,13.8,NA,8,61,80,76,75,88,87,0,0,0,0,0,0,0,0,7,4,220809,227809,2
Dover-Sherborn,06550000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26075007.38,1160,1185,12835.75579,464.8094961,1958.705902,1921.641072,3373.843596,17,NA,0,0,0,0,0,0,0,162,187,162,176,161,164,169,4,NA,NA,NA,NA,NA
Dracut,00790000,0.025,0.025,0.025,NA,63563,65152,68154,44976,46100,49683,84122,86225,88381,NA,49830013.46,3628,3659,6291.114988,338.8333486,1252.181084,1039.683677,2460.179076,15.9,NA,40,300,308,307,311,275,309,294,303,323,211,214,227,229,8,NA,NA,NA,NA,NA
Dudley Street Neighborhood Charter School (District),04070000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5021878.7,286,294,NA,NA,NA,NA,NA,12.2,NA,45,47,43,43,39,42,35,0,0,0,0,0,0,0,0,11,2,161670,161670,3
Dudley-Charlton Reg,06580000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53361123.68,3452,3439,NA,NA,NA,NA,NA,16.1,NA,73,218,235,241,253,244,261,289,329,291,262,213,261,264,5,NA,NA,NA,NA,NA
Duxbury,00820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50530581.65,2811,2790,9454.952911,552.24452,1913.855685,1318.818815,2698.583454,14.7,NA,29,185,170,175,194,195,217,194,227,245,242,241,226,249,1,NA,NA,NA,NA,NA
East Bridgewater,00830000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31033614,2107,2082,7985.63583,641.3677798,1167.175542,1104.924188,1853.810018,17.4,NA,71,134,143,139,165,149,164,149,178,172,143,164,160,151,0,NA,NA,NA,NA,NA
East Longmeadow,00870000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44383945.5,2492,2404,9647.659628,697.5973951,1640.740241,968.9765327,2675.874533,18.4,NA,12,139,166,153,190,167,188,193,204,188,203,221,206,172,2,11,11,166946,178746,5
Eastham,00850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4890365,192,194,15524.59677,1000.226815,1789.712702,1638.034274,3748.74496,18,NA,22,21,30,28,29,34,30,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Easthampton,00860000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27479011.28,1417,1445,8431.769413,562.0601815,1129.315598,947.9758055,2926.329517,19.2,NA,22,109,117,116,107,113,126,110,92,114,97,101,111,108,2,NA,NA,NA,NA,NA
Easton,00880000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54571050.59,3418,3410,9230.633917,436.7720215,1078.356441,1074.189833,2071.546471,19.2,NA,57,146,222,228,244,248,271,294,268,307,265,286,286,274,14,4,4,189000,196750,4
Edgartown,00890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11893467.12,397,382,16655.77072,623.7432325,1700.237977,1961.633614,5956.802652,21.7,NA,5,40,46,47,37,43,36,55,35,38,0,0,0,0,0,NA,NA,NA,NA,NA
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9566427,395,385,NA,NA,NA,NA,NA,20.3,NA,0,0,0,0,0,0,0,0,0,0,100,98,98,89,0,NA,NA,NA,NA,NA
Erving,00910000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6051767.43,133,113,19423.06381,1671.436411,2314.684685,2441.794294,7872.43994,20.2,NA,13,14,17,15,11,13,21,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Essex North Shore Agricultural and Technical School District,08170000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29615028.66,1654,1564,NA,NA,NA,NA,NA,18,NA,0,0,0,0,0,0,0,0,0,0,426,413,381,344,0,3,3,176000,180000,4
Everett,00930000,0.02,NA,NA,NA,76494,NA,NA,54076,NA,NA,104251,NA,NA,NA,123763644,6813,6883,9962.41779,414.8964764,1049.989081,987.8169753,2266.263352,18.1,NA,250,363,532,490,536,517,524,514,528,547,562,532,530,457,1,1,1,208000,219000,4
Excel Academy Charter (District),04100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24936594.93,1365,1389,NA,NA,NA,NA,NA,18.8,NA,0,0,0,0,0,0,174,181,177,180,181,174,164,158,0,NA,NA,NA,NA,NA
Fairhaven,00940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28019320.08,1846,1918,7711.150843,576.6606275,1069.220466,1082.878662,2149.816676,16.6,NA,20,115,113,122,130,140,142,160,150,144,150,183,158,188,3,16,16,191227,195000,5
Fall River,00950000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198022592,10268,9998,9147.847102,501.9734178,1564.829052,1287.477824,3246.558776,23,NA,223,715,848,828,866,867,902,784,828,810,567,644,564,552,0,NA,NA,NA,NA,NA
Falmouth,00960000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67903584.44,3044,3029,11471.05251,451.7072269,1418.304698,1862.155751,3817.711192,19.1,NA,82,193,223,228,259,228,247,248,253,257,199,240,185,183,4,3,3,182500,NA,5
Farmington River Reg,06620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592783.05,116,107,NA,NA,NA,NA,NA,23.4,NA,18,16,17,10,12,14,10,10,0,0,0,0,0,0,0,4,4,17965,NA,5
Fitchburg,00970000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93946709.23,5187,5116,8652.460111,473.2737569,1649.008146,1129.029218,2740.51474,24.2,NA,101,315,416,468,390,441,416,416,388,374,337,373,316,352,13,3,3,190962,217996,4
Florida,00980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2055966.59,104,80,12278.56624,655.7759494,1312.359705,1873.82711,3244.426266,22.5,NA,0,11,7,8,2,11,6,4,18,13,0,0,0,0,0,NA,NA,NA,NA,NA
Four Rivers Charter Public (District),04130000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4061988,218,215,NA,NA,NA,NA,NA,14.4,NA,0,0,0,0,0,0,0,0,38,37,35,37,40,28,0,NA,NA,NA,NA,NA
Foxborough,00990000,0.02,0.02,NA,NA,76900,78295,NA,50810,51827,NA,101735,103770,NA,NA,51732040.52,2459,2450,10786.41172,553.2170872,1500.628473,2029.092054,3214.449577,20.2,NA,67,167,178,155,167,187,164,173,215,209,189,188,197,183,11,4,4,192550,197550,5
Foxborough Regional Charter (District),04460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24172722.74,1689,1714,NA,NA,NA,NA,NA,10.2,NA,0,148,150,154,153,152,149,152,145,151,117,95,85,63,0,NA,NA,NA,NA,NA
