district_name,district_code,cola_2020_21,cola_2021_22,cola_2022_23,cola_2023_24,salary_avg_2020_21,salary_avg_2021_22,salary_avg_2022_23,upper_left_2020_21,upper_left_2021_22,upper_left_2022_23,lower_right_2020_21,lower_right_2021_22,lower_right_2022_23,total_exp_2021_22,total_exp_2020_21,total_enrollment_2021_22,total_enrollment_2020_21,instructional_services,administration,pupil_services,operations_and_maintenance,insurance_retirement_programs_and_other,disabled_pct,pct_health_insurance_paid,grade_pk,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_sp,years_exp,years_as_super,fy2021_salary,total_comp_pkg,years_current_contract
Waltham,03080000,0.02,0.02,NA,NA,74128.71429,75616.57,NA,51707,52741,NA,96317,98243,NA,NA,128636738.6,5496,5507,11975.29012,551.8198958,1537.760614,1591.119776,5429.241466,16.3,NA,109,410,423,438,436,441,426,393,407,404,415,428,389,387,1,1,1,212000,220000,3
Ware,03090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20131509.47,1124,1140,9067.631694,504.3693575,1861.290209,1092.547988,2988.019984,22.1,NA,37,68,82,85,71,76,97,101,102,114,105,69,66,64,3,7,7,136600,NA,2
Ware,03090000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20131509.47,1124,1140,9067.631694,504.3693575,1861.290209,1092.547988,2988.019984,22.1,NA,37,68,82,85,71,76,97,101,102,114,105,69,66,64,3,9,9,259891,274891,4
Wareham,03100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46449536.88,2043,1988,11346.06535,513.6496029,1967.881879,1295.636363,4155.030708,25,NA,48,163,184,141,167,134,166,180,187,164,138,111,110,89,6,NA,NA,NA,NA,NA
Watertown,03140000,0.02,0.02,NA,NA,77870.00167,79427.4017,NA,54598.1,55690.06,NA,104449.632,106538.6246,NA,NA,64800685,2571,2526,13766.15152,757.2320227,1454.150471,1524.967858,3843.097997,19.8,0.8,77,189,201,211,213,194,174,178,184,210,177,164,159,189,6,4,4,183410,183410,4
Wayland,03150000,0.02,0.02,0.025,NA,75393,76901,78439,50734,51748,53042,122223,124667,127784,NA,54371473.22,2711,2700,12773.00329,818.5423035,1242.969602,1374.474621,2735.921969,17.9,0.74,0,202,201,183,233,212,191,199,203,240,213,196,196,231,0,NA,NA,NA,NA,NA
Webster,03160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32970936,1697,1682,9482.419745,511.4330475,1782.538478,1026.590809,2946.085092,22.8,NA,43,91,147,144,140,156,148,149,129,145,87,98,111,89,5,18,4,180000,194000,4
Wellesley,03170000,0.02,0.02,NA,NA,80306,81912,NA,50956,51975,NA,119294,121680,NA,NA,106148791.3,4290,4432,14109.27082,396.0430646,1300.387512,1480.822052,2767.239791,17.1,NA,64,220,280,316,338,332,322,337,382,372,364,367,340,392,6,NA,NA,NA,NA,NA
Wellfleet,03180000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722964,112,103,19826.15311,2087.990431,2984.995215,2471.023923,5933.655502,16.3,NA,0,14,16,23,15,20,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
West Boylston,03220000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17384260.99,879,888,10207.48399,830.8650555,1297.215599,1138.701527,3282.137197,17.8,NA,26,40,68,60,66,64,62,66,77,72,62,68,87,70,0,1,1,135000,136200,3
